tweet_id,favorites,retweets,user_followers,user_favourites,date_time
789530877013393408,12023,3472,8768045,145816,2016-10-21 18:16:44+00:00
789314372632018944,8862,2358,8768045,145816,2016-10-21 03:56:25+00:00
789280767834746880,0,5086,8768045,145816,2016-10-21 01:42:53+00:00
789268448748703744,9325,2675,8768045,145816,2016-10-21 00:53:56+00:00
789137962068021249,9951,2878,8768045,145816,2016-10-20 16:15:26+00:00
788908386943430656,28070,12786,8768045,145816,2016-10-20 01:03:11+00:00
788765914992902144,28017,10603,8768045,145816,2016-10-19 15:37:03+00:00
788552643979468800,0,7372,8768045,145816,2016-10-19 01:29:35+00:00
788412144018661376,15934,5414,8768045,145816,2016-10-18 16:11:17+00:00
788178268662984705,7400,2150,8768045,145816,2016-10-18 00:41:57+00:00
788150585577050112,6265,1322,8768045,145816,2016-10-17 22:51:57+00:00
788070120937619456,0,3516,8768045,145816,2016-10-17 17:32:13+00:00
788039637453406209,6269,1357,8768045,145816,2016-10-17 15:31:05+00:00
787810552592695296,8840,3136,8768045,145816,2016-10-17 00:20:47+00:00
787717603741622272,10497,2857,8768045,145816,2016-10-16 18:11:26+00:00
787397959788929025,11136,2911,8768045,145816,2016-10-15 21:01:17+00:00
787322443945877504,7971,1786,8768045,145816,2016-10-15 16:01:13+00:00
787111942498508800,0,6912,8768045,145816,2016-10-15 02:04:45+00:00
786963064373534720,27233,8177,8768045,145816,2016-10-14 16:13:10+00:00
786729988674449408,0,2477,8768045,145816,2016-10-14 00:47:00+00:00
786709082849828864,18682,6262,8768698,145817,2016-10-13 23:23:56+00:00
786664955043049472,10855,2622,8768045,145816,2016-10-13 20:28:35+00:00
786595970293370880,9652,3195,8768045,145816,2016-10-13 15:54:28+00:00
786363235746385920,11143,3602,8768045,145816,2016-10-13 00:29:39+00:00
786286427768250368,8156,2919,8768045,145816,2016-10-12 19:24:27+00:00
786233965241827333,15615,4874,8768045,145816,2016-10-12 15:55:59+00:00
786051337297522688,1457,159,8768045,145816,2016-10-12 03:50:17+00:00
786036967502913536,0,7206,8768045,145816,2016-10-12 02:53:11+00:00
785927819176054784,11646,3261,8768045,145816,2016-10-11 19:39:28+00:00
785872687017132033,6854,1864,8768045,145816,2016-10-11 16:00:24+00:00
785639753186217984,8018,2290,8768045,145816,2016-10-11 00:34:48+00:00
785533386513321988,9313,2041,8768045,145816,2016-10-10 17:32:08+00:00
785515384317313025,6252,1291,8768045,145816,2016-10-10 16:20:36+00:00
785264754247995392,7425,1680,8768045,145816,2016-10-09 23:44:41+00:00
785170936622350336,12312,4957,8768045,145816,2016-10-09 17:31:53+00:00
